Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
Hipk3,0.092027773305082,8.723980059842,3.33751330776976,0.00177379669073362,0.0218884764053582,-1.8297123559518
Snrk,0.0879638457231462,8.74195137420734,3.33931340580991,0.00176475274304345,0.0218846812936824,-1.83971189659402
Ptpn3,-0.0553447959445449,9.09187984086031,-3.44451213390255,0.0013062158907653,0.0178222459492149,-1.84577298006705
Nudt6,0.172880240361496,8.07296474153905,3.09386966247471,0.00350062727094082,0.0356466313565315,-1.87048256599531
Cpt1b,0.061705227488526,9.28905844580168,3.48586088280595,0.00115921773497018,0.0161324468116683,-1.87102313410261
Slc1a1,-0.120362937398915,8.12495036970927,-3.11408519810559,0.00331175255025848,0.0342807443735434,-1.87562912275571
Lamtor1,-0.0961706828664054,8.91326316429193,-3.37861470974076,0.00157790278429501,0.0202699819213282,-1.89034950720557
Tmod1,-0.0580269721542731,9.1368143757969,-3.42525475517899,0.00138060678854441,0.0182985185465807,-1.93528044475793
Reln,0.131361532850594,8.24248125344643,3.10960715007818,0.00335274348973405,0.0345196176379207,-1.94035483851873
Rpl3l,-0.0865546322038779,9.07209645019334,-3.39919114546358,0.00148775493892644,0.0193099799067914,-1.9569604113852
Vipr2,0.343258603800091,7.47985515114716,3.0452229846811,0.00399755981557051,0.0395832185236734,-1.98140035168597
Kcnj12,-0.219720208709471,7.92371699516401,-3.03353300729574,0.00412649109935221,0.0402212459294836,-1.98281892085217
Pla2g5,-0.0776172912379277,8.75524252516309,-3.29707357840148,0.00198898449405695,0.0237257436076794,-1.98371881649124
Dnm1l,-0.0815848948606469,8.74956327443713,-3.28981569452663,0.00203014298793753,0.0239882461546392,-1.99890924446751
Acadvl,0.0521917146205645,9.31405212707523,3.42789536770827,0.00137017190633753,0.0182568118371038,-2.0482829328492
Plin2,0.0623125906317662,8.87390414000526,3.29301196573216,0.00201191861363504,0.0238855740623496,-2.06933400118118
Rapgef4,0.118621740172155,8.26194786074768,3.05968639241907,0.00384328013292457,0.0385096669319042,-2.08000530648295
Csad,0.0964893254231742,8.33510473804792,3.07786807433448,0.00365728024437139,0.0370910405350216,-2.10976476261694
Hmbs,-0.0646479861894894,8.78798872022409,-3.25555710199123,0.00223558265623215,0.0259265488604701,-2.11701933188348
Lrrc59,-0.0389580830987251,8.82659562985609,-3.26081579394191,0.00220281418246317,0.025665346637536,-2.1305811271835
Pgam2,-0.132383435409874,9.01136046727909,-3.31826705291532,0.00187329035053623,0.0228906942833817,-2.13210462664394
Ppara,-0.132125956984502,8.2932090896882,-3.06525623687529,0.00378537501768818,0.0380817848165016,-2.13468713430394
Mx2,-0.18163892686299,8.54931405637831,-3.15634167128131,0.00294755234790291,0.0314196537510501,-2.17763968244271
Fhl2,-0.0480264816060549,9.48828728408769,-3.41923728514406,0.00140467019815708,0.0185194676125447,-2.18299145816563
Pea15,-0.0459413736696502,8.96313029784943,-3.27878466147054,0.00209425141330869,0.0246295764804613,-2.18923870125945
Calu,-0.0470949918239782,9.24923080611815,-3.36042568112198,0.00166190617521945,0.0208913948798856,-2.19780791371543
Copz1,-0.0426611229627744,9.04060799999835,-3.29710935638337,0.00198878358000416,0.0237257436076794,-2.20025476124465
