"","GSM2114177","GSM2114178","GSM2114179","GSM2114180","GSM2114181","GSM2114182","GSM2114183","GSM2114184","GSM2114185","GSM2114186"
"GABARAP",7.55860289260667,7.70517198934668,7.63903554373002,7.83768225927731,7.51829869175496,7.70432851920431,7.6736649643492,7.64987760904948,7.60130937792974,7.71754197504469
"GABARAPL2",7.23163485959871,7.41081327789666,7.09583196291177,7.44872764909678,7.34425198273933,7.00935262737162,7.09028978786112,7.25327520792049,7.15373239450582,7.22766265882613
"GABBR1",11.1561509189204,10.8669686219658,10.9720632428853,11.0662300769408,10.7913547524702,10.8926772866006,11.0904954737751,10.9584904794324,11.0107117178987,10.894893252058
"GABBR2",9.37634352972059,9.1962051603322,9.3116157674384,9.2589744193982,9.31026280027674,9.25412717711006,9.26185657516121,9.28499183866285,9.2129265878641,9.18584716062786
"GABPB1",4.13160919144287,4.24835357531254,4.00214191091393,4.36554417555281,3.99562965790729,3.99685758240781,4.34312812653491,4.12991019313338,4.08475690759009,4.15020134674711
"GABRA1",6.67415535421628,6.6961583649948,6.60206754303396,6.57886101803294,6.88981362087312,6.66675616662752,6.41405968820793,6.5293808072668,6.41324579022183,6.53280231013332
"GABRA2",6.47548900831134,6.51354721806068,6.53309296136264,6.38159473604935,6.34930501455538,6.55842793000379,6.08998595602384,6.14347463060735,6.33963118504078,6.09880816522166
"GABRA4",5.58626339616147,5.99562723132495,5.9836189742833,5.9470364921877,6.07188658623975,5.66516718011667,5.67136528801849,5.81964046582288,5.67917342348582,5.58227295958937
"GABRA5",8.40342428105135,8.12301020285987,8.01039543400141,8.00310728233734,7.76453223842899,8.0267743865672,7.81249189466154,7.78796700320588,8.09113448766654,8.07358436639747
"GABRB1",5.64956153978858,5.56831251314933,5.38698473421797,5.66385394585782,5.46132368712507,5.43068951777678,5.55327961385598,5.39918314557661,5.24888978771539,5.27106171598853
"GABRB2",3.9618037414593,3.93537292758507,4.23852296787443,3.49806255190262,4.3621924972254,4.0027752314782,3.85773526421224,3.72794656822547,3.99809434989368,3.74393810541511
"GABRD",4.49841032618531,5.71051459256124,6.16516026342142,6.13745393338014,6.11327166057556,4.99894441949006,5.72615650059603,5.88505777616124,5.56537506017173,5.42337027349399
"GABRG1",4.49396671043648,4.69235129918688,4.52644363633982,4.20757505843354,4.76966379546802,4.93229477423631,4.76714598151361,4.59233184430468,4.34765926867952,4.52988253615973
"GABRG2",6.45962468628152,6.60595111984964,6.52050351407448,6.4181215072499,6.53696903912353,6.43911996527804,6.24584283563387,6.30277098908412,6.27132559059014,6.0865255777618
"GAD1",7.68678360113821,7.67306533308997,7.41990940691727,7.62648019531762,7.36030160895064,6.82208234611223,7.17747263994506,7.40203536581076,6.97322046376971,7.01211370840442
"GAD2",5.65753041081456,5.38016464628337,5.41198616629577,5.35488964199756,5.47499528465212,5.1317853486702,5.03254325718765,5.13717836129154,4.78858512527305,4.89921596549589
"GADD45A",2.86991319640259,2.64949542928629,3.53128663155928,3.45852684770743,3.63874767212456,3.30195028701382,3.38302387660695,2.79959144698838,3.36820084802886,3.84656004339549
"GADD45B",4.319119549501,4.21744229509397,4.78943270607074,5.08320120162676,4.50229994055207,4.97506292164171,4.77661624719761,4.55261848385608,5.08135281441399,5.33890662398568
"GADD45G",2.17944609703208,2.93438128612635,3.92086448795537,3.57402495582283,3.93096881460405,3.53214391946451,3.35800830626284,3.64728709665899,3.5790785411611,3.86968132744414
"GADD45GIP1",5.8627444381035,5.5732040911395,5.90302537688357,6.14681226227697,6.00120893270529,5.85867587620679,5.83440703774223,6.02658204316492,5.91200675173642,6.13265330672796
"GAK",7.52578443056906,7.39432413069638,7.31446580488811,7.47991589232255,7.23600657053414,7.36163179500565,7.39598557406535,7.3186625865806,7.37621360239665,7.23658338047359
"GAL3ST1",4.2203613557006,4.0590856856278,4.26071364383834,4.08311312981368,4.12843789177344,4.29089000277542,4.39733667802531,4.28821436790554,4.21671601694544,4.22830505831503
