"","GSM3574340","GSM3574341","GSM3574342","GSM3574343","GSM3574344","GSM3574345","GSM3574346","GSM3574347","GSM3574348","GSM3574349","GSM3574350","GSM3574351","GSM3574352","GSM3574353","GSM3574354","GSM3574355"
"AK1",6.70728953355922,6.91011510255986,6.21247508038101,6.60501055838974,6.30702181990362,7.76726487356846,6.85676028991637,6.25848543238108,7.65764061641039,6.61293684310647,5.47745649990401,5.25435619506147,5.54724858995991,5.59104552535689,6.14315041387614,6.40980374937669
"AK2",4.84558500408132,4.91712653812623,4.5833769368671,4.90686530800359,4.40379728048384,5.30537105984835,4.89127472321506,4.51670158287101,5.42267875575055,4.65846904630807,4.01843726706075,4.01781091931277,3.92788351008254,4.12310477478228,4.50933347804338,4.29606952620123
"AK3",6.08074819047591,6.15240979621764,6.17943467116515,6.08154581797951,6.0432186275725,6.09933720763975,6.09688277469998,6.01219231754504,6.20924529624732,6.26282672859286,5.93939838729945,6.05361918133392,6.09404424488303,6.11106427200863,6.66585041576367,5.46183112631899
"AK4",3.81818006664715,4.07553764437244,3.56174234464349,3.27678900688616,3.63183468455236,4.05863965590723,3.98325827609673,3.60941880113246,4.04317597237791,3.47652208232194,2.77595761895064,2.35293867166398,2.81929143176085,3.22463231581592,4.0382920485383,4.05061615458052
"AKAP1",6.9402015803303,7.02749455858288,7.04026780808908,6.87771196563731,7.00302252976813,7.68228453059815,7.1495889313716,6.84552621863845,7.37232021946098,6.94738243446284,6.57047393204263,6.54066585494653,6.57450440535711,6.42298035724698,6.58574443454633,6.70076705882744
"AKAP11",6.13943272191153,6.14558173023973,6.98433330452616,5.99650726240764,6.64386397668307,5.70241316049228,6.09781254790247,6.8114292238543,5.61466990927175,6.57139982929259,7.09614632426518,7.12788094644473,6.83302426614659,7.13550572895114,6.4732645527111,6.78724780489831
"AKAP12",5.76970948536815,5.75286360442082,5.72944794048329,5.58353626364584,5.64458766740311,5.88331096955811,5.78938739114951,5.47189519666253,5.95847718131375,5.65023256740036,6.17311561080124,5.98127657528074,5.81899121966714,5.81812229082375,5.79760680501523,5.2298336415818
"AKAP8",5.10765343597358,5.11327394745792,5.37239156051879,5.12618469928626,5.26140218321886,5.19110712155931,5.02882516094734,5.42260905768589,5.12445599835382,5.2119975241671,5.5280403086418,5.73402333069999,5.6054655187844,5.48207358036669,5.31393304161984,5.17383746831811
"AKIP1",3.14900782139529,2.91294297233332,3.2537835917957,3.68705492676444,3.34680329781581,3.28420023295998,3.29636194066354,3.21333743459105,3.2650754362274,3.63096504652267,3.59357966369178,3.62902323524255,3.3703202811657,2.68921611276052,3.41421895451902,3.63829316961103
"AKIRIN2",5.36217631293521,5.16906040838299,5.82928585380694,5.63493024957194,5.67716295990584,4.81887855326843,5.37116461950151,5.88865218956961,4.5084071382376,5.62697298072671,6.25239106221424,6.39402630721289,6.21047005399485,6.1220446705439,5.34041100901647,5.99525748265946
"AKR1A1",7.25148145572795,7.31075764444763,6.98144555231211,7.38591217110005,7.09884058330334,7.60757738410041,7.29701319199453,7.04913604197347,7.64452718290093,7.12045086328114,6.70081468242502,6.43298077747018,6.79486941996867,6.91183348613436,7.34621999110871,7.34852507558243
"AKR1B1",7.30749994202664,7.47400282588931,7.11206920408178,7.38728238550827,6.97709027064145,7.63499952721595,7.23875805125553,7.1568661257467,7.52891688599231,7.14488005107269,6.86574393621997,6.81048606435862,7.25770543600618,7.19018659535668,7.49809854269733,7.51423650711169
"AKR1C14",6.07820382780562,5.92514306840398,6.8662762429627,6.61921570781877,6.75977821106782,5.56107305753433,6.36371793323855,6.95161736749476,5.43251446085607,6.53697805734759,7.15265712001076,7.12788094644473,7.00521522063483,6.82854882754798,6.87060062792846,6.03882600693923
"AKR1D1",2.05863135875562,2.33412804520004,2.47928127412534,2.03026186739822,2.51122626254719,2.12596343970478,1.27440361392534,2.15050556388333,2.31595675801809,2.39291930600808,1.95899951201725,1.68948284723994,2.66707355320484,2.00802022740398,2.47176009708721,3.10639231247311
"AKT1",6.02434263403189,6.19644571602902,5.15510094155444,5.74122164164715,5.52612391673298,7.59801857939433,6.55120805383318,5.44446807451054,7.39645896095397,5.71233131352626,4.36175396740736,4.31941621239245,4.466385909169,4.69601583893885,5.41683958933729,5.79202114955733
"AKT2",5.76601338487597,5.86110629396316,4.80883369927186,5.22228339777379,5.15441046054922,6.49845074169132,5.73678508124661,4.50537004433698,6.18749688809865,5.22380338741796,3.6860302697023,3.39904419632429,4.16514275831016,4.47893946839668,5.03211214117612,4.65722400301184
"AKTIP",5.31493119036063,5.39356664694143,5.27090011197143,5.4119214895979,5.30322226294297,5.10912712646589,4.92927598044332,5.32493935001948,5.04804269884785,5.32001115829265,4.92502479804875,4.91234857694872,5.17868497158389,5.05146724150755,5.46855381807493,5.36311985217236
"ALAS1",7.66242838832481,7.76782003605491,7.54101933478057,7.60753816852595,7.37350618132912,8.35359243883847,7.69383031509518,7.24410045068587,8.16478985708911,7.49300386656954,6.50282496077624,6.55678894344039,6.81679888589194,6.77359734210622,6.42353028293164,7.07422314757655
